generated,program,id,verdict,detail,page_updated,url,registry_keys,diff_report
2026-07-16T22:04:20+00:00,managed_medi_cal,mcp_apl_index,CHANGED,content text hash differs,,https://www.dhcs.ca.gov/formsandpubs/Pages/AllPlanLetters.aspx,,
2026-07-16T22:04:20+00:00,fqhc,fqhc_cms_center,CHANGED,content text hash differs,,https://www.cms.gov/medicare/payment/prospective-payment-systems/federally-qualified-health-centers-fqhc-center,,
2026-07-16T22:04:20+00:00,ncci,ncci_medicaid_files,CHANGED,content text hash differs,,https://www.cms.gov/medicare/coding-billing/ncci-medicaid/medicaid-ncci-edit-files,,
2026-07-17T19:52:00+00:00,fpact,fpact_news_archive,LINKS_CHANGED,+1 ['https://familypact.org/family-pact-policy-updates-and-clarifications/'] / -1 ['https://familypact.org/rate-updates-for-select-fpact-hcpcs-codes/'],,https://familypact.org/news-and-updates-archive/,,
2026-07-20T15:49:06+00:00,managed_medi_cal,mcp_apl_index,CHANGED,content text hash differs,,https://www.dhcs.ca.gov/formsandpubs/Pages/AllPlanLetters.aspx,,
2026-07-27T16:15:31+00:00,fpact,fpact_news_archive,LINKS_CHANGED,"+2 link(s) added, -2 removed | added: https://familypact.org/medi-cal-news-rems-certification-and-provider-training-required-to-administer-nexplanon/; https://familypact.org/planned-family-pact-portal-production-outage-july-26-27-2026/ | removed: https://familypact.org/dhcs-4475-update/; https://familypact.org/one-site-certifier-for-multiple-service-locations-update/",,https://familypact.org/news-and-updates-archive/,,
2026-07-27T16:15:31+00:00,medi_cal_ffs,ffs_tri_fee_schedule,NEW,no baseline yet,,https://www.dhcs.ca.gov/wp-content/uploads/2025/10/CY-2024-TRI-Fee-Schedule-Feb.xlsx,,
2026-08-03T16:21:25+00:00,managed_medi_cal,mcp_apl_index,CHANGED,content text hash differs,,https://www.dhcs.ca.gov/formsandpubs/Pages/AllPlanLetters.aspx,,reports/diffs/20260803T162103Z_managed_medi_cal--mcp_apl_index.md
2026-08-10T14:55:21+00:00,fqhc,fqhc_cms_center,CHANGED,content text hash differs,,https://www.cms.gov/medicare/payment/prospective-payment-systems/federally-qualified-health-centers-fqhc-center,,reports/diffs/20260810T145505Z_fqhc--fqhc_cms_center.md
2026-08-10T14:55:21+00:00,ncci,ncci_medicaid_files,CHANGED,content text hash differs,,https://www.cms.gov/medicare/coding-billing/ncci-medicaid/medicaid-ncci-edit-files,,reports/diffs/20260810T145521Z_ncci--ncci_medicaid_files.md
2026-08-17T14:24:15+00:00,fpact,fpact_manual_docs--benfamrel,CHANGED,content text hash differs,2026-08-14T16:22:28,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/assets/B32916F9-83E4-4C1A-B089-BF8E6C601FA8,,reports/diffs/20260817T142303Z_fpact--fpact_manual_docs--benfamrel.md
2026-08-17T14:24:15+00:00,fpact,fpact_manual_docs--bengrid,CHANGED,content text hash differs,2026-08-14T16:22:54,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/assets/59A4DC78-0B85-42B8-90A1-29DF9A757683,,reports/diffs/20260817T142306Z_fpact--fpact_manual_docs--bengrid.md
2026-08-17T14:24:15+00:00,fpact,fpact_manual_docs--clinic,CHANGED,content text hash differs,2026-08-14T16:23:28,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/assets/235F5DF8-9BF2-4851-839C-9C857C757B10,,reports/diffs/20260817T142316Z_fpact--fpact_manual_docs--clinic.md
2026-08-17T14:24:15+00:00,fpact,fpact_manual_docs--lab,CHANGED,content text hash differs,2026-08-14T16:23:59,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/assets/C9BE0AAF-EEFB-433A-88AF-43D59741B72B,,reports/diffs/20260817T142327Z_fpact--fpact_manual_docs--lab.md
2026-08-17T14:24:15+00:00,fqhc,fqhc_cms_center,CHANGED,content text hash differs,,https://www.cms.gov/medicare/payment/prospective-payment-systems/federally-qualified-health-centers-fqhc-center,,reports/diffs/20260817T142351Z_fqhc--fqhc_cms_center.md
2026-08-17T14:24:15+00:00,revision_notices,rev_inpatient_manuals,REVISION_NOTICE,4 of 115 manual sections moved: 'Hospice Care (hospic)' revised 2026-04-16 -> 2026-08-14; 'TAR and Non-Standard Benefits: Introduction to List (tar and non)' revised 2025-12-26 -> 2026-08-14; 'UB-04 Completion:  Inpatient Services (ub comp ip)' revised 2026-06-16 -> 2026-08-14; 'UB-04 Submission and Timeliness Instructions (ub sub)' revised 2024-01-16 -> 2026-08-14,,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/publications/manual?community=inpatient-services,,
2026-08-17T14:24:15+00:00,revision_notices,rev_clinics_hospitals_manuals,REVISION_NOTICE,15 of 247 manual sections moved: 'Dyadic Services (dyadic ser)' revised 2026-02-13 -> 2026-08-14; 'EPSDT (epsdt)' revised 2025-12-16 -> 2026-08-14; 'Family Planning (fam planning)' revised 2026-05-18 -> 2026-08-14; 'Hospice Care (hospic)' revised 2026-04-16 -> 2026-08-14; 'Immunizations (immun)' revised 2026-07-16 -> 2026-08-14; and 10 more,,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/publications/manual?community=clinics-and-hospitals,,
