program,id,checked_at,type,verdict,detail,page_updated,shell,http,url,human_url,registry_keys,registry_note,note,diff_report,codes_touched
fpact,fpact_news_archive,2026-08-17T14:22:47+00:00,linkpage,unchanged,,,False,200,https://familypact.org/news-and-updates-archive/,,,triage per announcement,Program news archive; new post or PDF links = policy updates to read. Pattern excludes feed/json noise. Also catches re-versioned artifacts (e.g. a new Superbill filename).,,
fpact,fpact_manual_docs--00letter,2026-08-17T14:22:47+00:00,manual_list,unchanged,,2025-05-23T00:02:23,,,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/assets/B84C9830-1762-442B-BB11-268B9BB1008B,,,ppbi_source_section rows for any changed section,"Per-document monitor for all 24 Family PACT manual sections. Each section is watched individually - full PDF text hash, per-page ""Page updated"" stamps, portal Revision Date, new sections auto-discovered, removals flagged - and a CHANGED section gets a before/after text diff. If the token ever grants the list but not the assets, the entry degrades to CHANGED_METADATA_ONLY rather than going blind. The endpoint is undocumented and can change shape or auth without notice, so MCSS email stays the backstop detector. Decision support, not a source of record.",,
fpact,fpact_manual_docs--0bhwtouse,2026-08-17T14:22:47+00:00,manual_list,unchanged,,2025-06-16T16:12:25,,,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/assets/D5B367D8-ED60-4A57-A0F1-71B9626E038A,,,ppbi_source_section rows for any changed section,"Per-document monitor for all 24 Family PACT manual sections. Each section is watched individually - full PDF text hash, per-page ""Page updated"" stamps, portal Revision Date, new sections auto-discovered, removals flagged - and a CHANGED section gets a before/after text diff. If the token ever grants the list but not the assets, the entry degrades to CHANGED_METADATA_ONLY rather than going blind. The endpoint is undocumented and can change shape or auth without notice, so MCSS email stays the backstop detector. Decision support, not a source of record.",,
fpact,fpact_manual_docs--1tocfpact,2026-08-17T14:22:47+00:00,manual_list,unchanged,,2025-05-23T00:02:48,,,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/assets/5416438C-154C-4523-B1C8-8C3888870C71,,,ppbi_source_section rows for any changed section,"Per-document monitor for all 24 Family PACT manual sections. Each section is watched individually - full PDF text hash, per-page ""Page updated"" stamps, portal Revision Date, new sections auto-discovered, removals flagged - and a CHANGED section gets a before/after text diff. If the token ever grants the list but not the assets, the entry degrades to CHANGED_METADATA_ONLY rather than going blind. The endpoint is undocumented and can change shape or auth without notice, so MCSS email stays the backstop detector. Decision support, not a source of record.",,
fpact,fpact_manual_docs--benclinic,2026-08-17T14:22:47+00:00,manual_list,unchanged,,2025-11-21T18:51:48,,,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/assets/88BE8827-BF04-44FF-86AF-FF16018A7E43,,,ppbi_source_section rows for any changed section,"Per-document monitor for all 24 Family PACT manual sections. Each section is watched individually - full PDF text hash, per-page ""Page updated"" stamps, portal Revision Date, new sections auto-discovered, removals flagged - and a CHANGED section gets a before/after text diff. If the token ever grants the list but not the assets, the entry degrades to CHANGED_METADATA_ONLY rather than going blind. The endpoint is undocumented and can change shape or auth without notice, so MCSS email stays the backstop detector. Decision support, not a source of record.",,
fpact,fpact_manual_docs--benfam,2026-08-17T14:22:47+00:00,manual_list,unchanged,,2026-05-15T16:52:05,,,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/assets/BCA0E984-8DF3-4AD4-9499-7DFCA25DCAED,,,ppbi_source_section rows for any changed section,"Per-document monitor for all 24 Family PACT manual sections. Each section is watched individually - full PDF text hash, per-page ""Page updated"" stamps, portal Revision Date, new sections auto-discovered, removals flagged - and a CHANGED section gets a before/after text diff. If the token ever grants the list but not the assets, the entry degrades to CHANGED_METADATA_ONLY rather than going blind. The endpoint is undocumented and can change shape or auth without notice, so MCSS email stays the backstop detector. Decision support, not a source of record.",,
fpact,fpact_manual_docs--benfamrel,2026-08-17T14:22:47+00:00,manual_list,CHANGED,content text hash differs,2026-08-14T16:22:28,,,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/assets/B32916F9-83E4-4C1A-B089-BF8E6C601FA8,,,ppbi_source_section rows for any changed section,"Per-document monitor for all 24 Family PACT manual sections. Each section is watched individually - full PDF text hash, per-page ""Page updated"" stamps, portal Revision Date, new sections auto-discovered, removals flagged - and a CHANGED section gets a before/after text diff. If the token ever grants the list but not the assets, the entry degrades to CHANGED_METADATA_ONLY rather than going blind. The endpoint is undocumented and can change shape or auth without notice, so MCSS email stays the backstop detector. Decision support, not a source of record.",reports/diffs/20260817T142303Z_fpact--fpact_manual_docs--benfamrel.md,"85651(CPT,both); 33(modifier,both); 81000(CPT,removed); 85025(CPT,removed); 87491(CPT,removed); 87624(CPT,both); B37.31(ICD-10-CM,both); Q0111(HCPCS,both); S5000(HCPCS,both); S5001(HCPCS,both); B37.32(ICD-10-CM,both)"
fpact,fpact_manual_docs--bengrid,2026-08-17T14:22:47+00:00,manual_list,CHANGED,content text hash differs,2026-08-14T16:22:54,,,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/assets/59A4DC78-0B85-42B8-90A1-29DF9A757683,,,ppbi_source_section rows for any changed section,"Per-document monitor for all 24 Family PACT manual sections. Each section is watched individually - full PDF text hash, per-page ""Page updated"" stamps, portal Revision Date, new sections auto-discovered, removals flagged - and a CHANGED section gets a before/after text diff. If the token ever grants the list but not the assets, the entry degrades to CHANGED_METADATA_ONLY rather than going blind. The endpoint is undocumented and can change shape or auth without notice, so MCSS email stays the backstop detector. Decision support, not a source of record.",reports/diffs/20260817T142306Z_fpact--fpact_manual_docs--bengrid.md,"N94.11(ICD-10-CM,both); Z20.2(ICD-10-CM,both)"
fpact,fpact_manual_docs--claimcms,2026-08-17T14:22:47+00:00,manual_list,unchanged,,2025-10-16T16:11:54,,,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/assets/EBC8AE98-3518-404D-92E3-2FB7CFEB234D,,,ppbi_source_section rows for any changed section,"Per-document monitor for all 24 Family PACT manual sections. Each section is watched individually - full PDF text hash, per-page ""Page updated"" stamps, portal Revision Date, new sections auto-discovered, removals flagged - and a CHANGED section gets a before/after text diff. If the token ever grants the list but not the assets, the entry degrades to CHANGED_METADATA_ONLY rather than going blind. The endpoint is undocumented and can change shape or auth without notice, so MCSS email stays the backstop detector. Decision support, not a source of record.",,
fpact,fpact_manual_docs--claimub,2026-08-17T14:22:47+00:00,manual_list,unchanged,,2025-10-16T16:12:21,,,https://mcweb.apps.prd.cammis.medi-cal.ca.gov/assets/99A15B51-5AE1-45B4-BEB3-300F9FA3974F,,,ppbi_source_section rows for any changed section,"Per-document monitor for all 24 Family PACT manual sections. Each section is watched individually - full PDF text hash, per-page ""Page updated"" stamps, portal Revision Date, new sections auto-discovered, removals flagged - and a CHANGED section gets a before/after text diff. If the token ever grants the list but not the assets, the entry degrades to CHANGED_METADATA_ONLY rather than going blind. The endpoint is undocumented and can change shape or auth without notice, so MCSS email stays the backstop detector. Decision support, not a source of record.",,
